userId,target,averageListeningScore,averageReadingScore,averageTotalScore,highestScore,topicStats,skillStats,learningProgress,testHistory,weakness
U001,870,400,435,835,845,"[{""Topic"": ""Listening"", ""totalCorrect"": 7, ""totalIncorrect"": 6, ""averageTime"": 38}, {""Topic"": ""Reading Comprehension"", ""totalCorrect"": 15, ""totalIncorrect"": 8, ""averageTime"": 38}]","[{""skill"": ""listening"", ""totalCorrect"": 28, ""totalIncorrect"": 4, ""totalTime"": 392}, {""skill"": ""reading"", ""totalCorrect"": 12, ""totalIncorrect"": 9, ""totalTime"": 349}]","[{""L108"": {""percent"": 21}}, {""L107"": {""percent"": 46}}]","[{""T104"": {""avgScore"": 875, ""attemp"": 5}}, {""T103"": {""avgScore"": 480, ""attemp"": 4}}, {""T102"": {""avgScore"": 990, ""attemp"": 5}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U002,870,450,395,845,865,"[{""Topic"": ""Reading Comprehension"", ""totalCorrect"": 18, ""totalIncorrect"": 9, ""averageTime"": 28}, {""Topic"": ""Writing"", ""totalCorrect"": 10, ""totalIncorrect"": 4, ""averageTime"": 33}]","[{""skill"": ""listening"", ""totalCorrect"": 17, ""totalIncorrect"": 3, ""totalTime"": 333}, {""skill"": ""reading"", ""totalCorrect"": 29, ""totalIncorrect"": 10, ""totalTime"": 350}]","[{""L102"": {""percent"": 25}}, {""L106"": {""percent"": 89}}]","[{""T103"": {""avgScore"": 755, ""attemp"": 4}}, {""T107"": {""avgScore"": 935, ""attemp"": 5}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U003,990,375,380,755,915,"[{""Topic"": ""Vocabulary"", ""totalCorrect"": 16, ""totalIncorrect"": 2, ""averageTime"": 37}, {""Topic"": ""Reading Comprehension"", ""totalCorrect"": 14, ""totalIncorrect"": 0, ""averageTime"": 35}]","[{""skill"": ""listening"", ""totalCorrect"": 16, ""totalIncorrect"": 6, ""totalTime"": 204}, {""skill"": ""reading"", ""totalCorrect"": 29, ""totalIncorrect"": 10, ""totalTime"": 243}]","[{""L103"": {""percent"": 40}}, {""L104"": {""percent"": 60}}]","[{""T104"": {""avgScore"": 925, ""attemp"": 2}}, {""T108"": {""avgScore"": 585, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U004,935,435,360,795,820,"[{""Topic"": ""Reading Comprehension"", ""totalCorrect"": 14, ""totalIncorrect"": 1, ""averageTime"": 29}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 17, ""totalIncorrect"": 5, ""averageTime"": 37}]","[{""skill"": ""listening"", ""totalCorrect"": 10, ""totalIncorrect"": 3, ""totalTime"": 240}, {""skill"": ""reading"", ""totalCorrect"": 28, ""totalIncorrect"": 8, ""totalTime"": 364}]","[{""L105"": {""percent"": 40}}, {""L103"": {""percent"": 81}}]","[{""T108"": {""avgScore"": 335, ""attemp"": 5}}, {""T107"": {""avgScore"": 875, ""attemp"": 5}}, {""T105"": {""avgScore"": 955, ""attemp"": 5}}, {""T101"": {""avgScore"": 990, ""attemp"": 3}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U005,905,430,425,855,885,"[{""Topic"": ""Grammar"", ""totalCorrect"": 5, ""totalIncorrect"": 4, ""averageTime"": 21}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 19, ""totalIncorrect"": 7, ""averageTime"": 36}]","[{""skill"": ""listening"", ""totalCorrect"": 21, ""totalIncorrect"": 5, ""totalTime"": 280}, {""skill"": ""reading"", ""totalCorrect"": 18, ""totalIncorrect"": 4, ""totalTime"": 284}]","[{""L103"": {""percent"": 57}}, {""L102"": {""percent"": 41}}]","[{""T107"": {""avgScore"": 365, ""attemp"": 1}}, {""T106"": {""avgScore"": 615, ""attemp"": 1}}, {""T101"": {""avgScore"": 980, ""attemp"": 3}}, {""T102"": {""avgScore"": 990, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U006,930,450,385,835,895,"[{""Topic"": ""Writing"", ""totalCorrect"": 5, ""totalIncorrect"": 10, ""averageTime"": 27}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 5, ""totalIncorrect"": 4, ""averageTime"": 36}]","[{""skill"": ""listening"", ""totalCorrect"": 10, ""totalIncorrect"": 8, ""totalTime"": 293}, {""skill"": ""reading"", ""totalCorrect"": 26, ""totalIncorrect"": 4, ""totalTime"": 387}]","[{""L107"": {""percent"": 77}}, {""L109"": {""percent"": 25}}]","[{""T101"": {""avgScore"": 610, ""attemp"": 5}}, {""T103"": {""avgScore"": 990, ""attemp"": 4}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U007,945,375,350,725,870,"[{""Topic"": ""Writing"", ""totalCorrect"": 20, ""totalIncorrect"": 5, ""averageTime"": 24}, {""Topic"": ""Grammar"", ""totalCorrect"": 7, ""totalIncorrect"": 0, ""averageTime"": 32}]","[{""skill"": ""listening"", ""totalCorrect"": 13, ""totalIncorrect"": 0, ""totalTime"": 328}, {""skill"": ""reading"", ""totalCorrect"": 13, ""totalIncorrect"": 2, ""totalTime"": 329}]","[{""L108"": {""percent"": 23}}, {""L101"": {""percent"": 24}}]","[{""T108"": {""avgScore"": 790, ""attemp"": 5}}, {""T107"": {""avgScore"": 660, ""attemp"": 3}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U008,820,375,360,735,755,"[{""Topic"": ""Grammar"", ""totalCorrect"": 17, ""totalIncorrect"": 5, ""averageTime"": 25}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 17, ""totalIncorrect"": 1, ""averageTime"": 31}]","[{""skill"": ""listening"", ""totalCorrect"": 12, ""totalIncorrect"": 7, ""totalTime"": 322}, {""skill"": ""reading"", ""totalCorrect"": 21, ""totalIncorrect"": 0, ""totalTime"": 325}]","[{""L109"": {""percent"": 41}}, {""L102"": {""percent"": 98}}]","[{""T105"": {""avgScore"": 965, ""attemp"": 3}}, {""T106"": {""avgScore"": 335, ""attemp"": 3}}, {""T109"": {""avgScore"": 950, ""attemp"": 1}}, {""T104"": {""avgScore"": 690, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U009,915,350,350,700,765,"[{""Topic"": ""Grammar"", ""totalCorrect"": 9, ""totalIncorrect"": 6, ""averageTime"": 39}, {""Topic"": ""Writing"", ""totalCorrect"": 12, ""totalIncorrect"": 4, ""averageTime"": 29}]","[{""skill"": ""listening"", ""totalCorrect"": 12, ""totalIncorrect"": 2, ""totalTime"": 393}, {""skill"": ""reading"", ""totalCorrect"": 12, ""totalIncorrect"": 3, ""totalTime"": 318}]","[{""L103"": {""percent"": 72}}, {""L107"": {""percent"": 27}}]","[{""T102"": {""avgScore"": 555, ""attemp"": 4}}, {""T104"": {""avgScore"": 570, ""attemp"": 1}}, {""T105"": {""avgScore"": 670, ""attemp"": 1}}, {""T106"": {""avgScore"": 990, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U010,870,435,425,860,865,"[{""Topic"": ""Listening"", ""totalCorrect"": 14, ""totalIncorrect"": 9, ""averageTime"": 34}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 5, ""totalIncorrect"": 4, ""averageTime"": 35}]","[{""skill"": ""listening"", ""totalCorrect"": 29, ""totalIncorrect"": 9, ""totalTime"": 381}, {""skill"": ""reading"", ""totalCorrect"": 28, ""totalIncorrect"": 9, ""totalTime"": 227}]","[{""L102"": {""percent"": 95}}, {""L109"": {""percent"": 97}}]","[{""T107"": {""avgScore"": 600, ""attemp"": 5}}, {""T103"": {""avgScore"": 990, ""attemp"": 4}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
